Instrument         :,HElIOSb,072806,v2.04
Data Type          :,Scan
Scan Type          :,Standard
ID                 :,
Mode               :,Abs
Start Wavelength   :,350.0
Stop Wavelength    :,800.0
Bandwidth          :,2.0
Scan Speed         :,1200.0
Data Interval      :,1.0
Peak Table         :,Off
Lamp Change        :,325.0
Operator           :,
Smoothing          :,None
Reference          :,User Baseline
Number of Points   :,451
Date and Time      :,26-03-18,16:43:50

Wavelength,%T,Abs
350.0,3.7067,1.4310
351.0,3.6690,1.4355
352.0,3.5940,1.4444
353.0,3.5603,1.4485
354.0,3.5257,1.4527
355.0,3.4515,1.4620
356.0,3.3882,1.4700
357.0,3.3254,1.4782
358.0,3.2648,1.4862
359.0,3.1757,1.4982
360.0,3.1478,1.5021
361.0,3.0859,1.5107
362.0,3.0285,1.5188
363.0,2.9939,1.5239
364.0,2.9421,1.5314
365.0,2.9432,1.5313
366.0,2.8977,1.5380
367.0,2.8682,1.5425
368.0,2.8335,1.5477
369.0,2.8055,1.5521
370.0,2.7862,1.5551
371.0,2.7364,1.5629
372.0,2.7080,1.5674
373.0,2.6774,1.5724
374.0,2.6280,1.5804
375.0,2.5287,1.5972
376.0,2.4529,1.6104
377.0,2.3784,1.6238
378.0,2.2899,1.6403
379.0,2.2004,1.6576
380.0,2.1234,1.6731
381.0,2.0539,1.6875
382.0,1.9858,1.7022
383.0,1.8996,1.7214
384.0,1.8247,1.7389
385.0,1.7528,1.7563
386.0,1.6989,1.7699
387.0,1.6587,1.7803
388.0,1.6157,1.7917
389.0,1.5592,1.8071
390.0,1.5114,1.8206
391.0,1.4656,1.8340
392.0,1.3945,1.8557
393.0,1.3472,1.8706
394.0,1.2860,1.8908
395.0,1.2412,1.9062
396.0,1.1940,1.9230
397.0,1.1422,1.9423
398.0,1.0828,1.9655
399.0,1.0494,1.9791
400.0,1.0175,1.9925
401.0,0.9790,2.0092
402.0,0.9591,2.0182
403.0,0.9349,2.0293
404.0,0.8992,2.0461
405.0,0.8841,2.0536
406.0,0.8605,2.0653
407.0,0.8495,2.0709
